RQ,电机后轴温度,电机前轴温度,电机绕组温度,电流,电压,瞬时流量,闸阀开度,真空度
2017-03-10 22:50:00,69.21923370199997,70.41923065199998,85.57692375100001,109.869792165,10.057986306,0.0,83.17419052,-0.868057251
2017-03-10 22:51:00,69.19676248684209,70.39743423666665,85.62820477000004,108.78665035,10.063657495000001,0.0,83.1725832611111,-0.8680572509999999
2017-03-10 22:52:00,69.2817840563158,70.48290549444445,85.64530012222225,109.30748495,10.067515688888891,0.0,83.17419094444443,-0.8487675984444443
2017-03-10 22:53:00,69.342309951,70.54230690100002,85.69230692105266,109.05975944210525,10.08150607631579,0.0,83.16886098684212,-0.8497828433157893
2017-03-10 22:54:00,69.35870682473686,70.55982844111112,85.73931757444447,108.95061790555555,10.091049617222223,0.0,83.16454569333331,10.378083970888888
2017-03-10 22:55:00,69.41134121105263,70.61133816105264,85.71255051473688,108.63258482631579,10.070175672631578,0.0,83.1597225768421,15.067615308263163
2017-03-10 22:56:00,69.40729241210526,70.60728936210528,85.7692332989474,108.49780715263157,10.07785119421053,0.0,83.16733751631578,-0.868057251
2017-03-10 22:57:00,69.39402134888888,70.5940182988889,85.78205320333335,108.82282044444442,10.059799564444443,0.0,83.16293758555555,-0.8680572509999999
2017-03-10 22:58:00,69.40729241210526,70.60728936210528,85.8421068673684,108.58461277894737,10.087353857368422,0.0,83.15972338052632,-0.868057251
2017-03-10 22:59:00,69.4032436131579,70.60324056315791,85.87854405263155,109.21966513157895,10.077485436315788,0.0,83.15667724368421,-0.8589200471578946
2017-03-10 23:00:00,69.40729201105263,70.60728896105265,85.9352256336842,108.71481925263159,10.098684311052631,0.0,83.16733791842104,-0.868057251
2017-03-10 23:01:00,69.37692642,70.57692337000002,85.94017367555556,108.71913613888887,10.087963103333331,0.0,83.17097600222225,10.339504665777776
2017-03-10 23:02:00,69.42753520368422,70.62753215368423,85.99190320421052,108.44298151052632,10.080044043157894,0.0,83.1703840557895,-0.868057251
2017-03-10 23:03:00,69.46063770764705,70.66063465647059,86.05882128823531,108.61927882352941,10.087827065294121,0.0,83.16993578647057,5.065357881411765
2017-03-10 23:04:00,69.52875077315788,70.72874771578948,86.08096876000002,108.33561867894737,10.071637704736842,0.0,83.15667804789473,-0.8589200471578946
2017-03-10 23:05:00,69.51660357157894,70.71660051684212,86.11335875052634,108.15058579999997,10.096491311052635,0.0,83.1536311073684,-0.868057251
2017-03-10 23:06:00,69.56496302722219,70.76495996777777,86.13247807888891,108.44425200555554,10.064429230555554,0.0,83.16132947777777,-0.8680572509999999
